,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-10-04,227.9,228.0,224.13,226.8,226.8,37064793,37064793,-1.1,-0.48267,226.7075,"October 04, 24",-0.0048267
1,2024-10-03,225.14,226.81,223.32,225.67,225.67,34044200,34044200,0.53,0.23541,225.235,"October 03, 24",0.0023541
2,2024-10-02,225.89,227.37,223.02,226.78,226.78,32880605,32880605,0.89,0.394,225.765,"October 02, 24",0.00394
3,2024-10-01,229.52,229.65,223.74,226.21,226.21,63285048,63285048,-3.31,-1.44,227.28,"October 01, 24",-0.0144
4,2024-09-30,230.04,233.0,229.65,233.0,233.0,54793391,54793391,2.96,1.29,231.4225,"September 30, 24",0.0129
5,2024-09-27,228.46,229.52,227.3,227.79,227.79,34026000,34026000,-0.67,-0.29327,228.2675,"September 27, 24",-0.0029327
6,2024-09-26,227.3,228.5,225.41,227.52,227.52,36636707,36636707,0.22,0.09678839,227.1825,"September 26, 24",0.0009678839
7,2024-09-25,224.93,227.29,224.02,226.37,226.37,42308715,42308715,1.44,0.6402,225.6525,"September 25, 24",0.006402
8,2024-09-24,228.65,229.35,225.73,227.37,227.37,43556100,43556100,-1.28,-0.55981,227.775,"September 24, 24",-0.0055981
9,2024-09-23,227.34,229.45,225.81,226.47,226.47,54146023,54146023,-0.87,-0.38269,227.2675,"September 23, 24",-0.0038269
10,2024-09-20,229.97,233.09,227.62,228.2,228.2,318679900,318679900,-1.77,-0.76967,229.72,"September 20, 24",-0.0076967
11,2024-09-19,224.99,229.82,224.63,228.87,228.87,66781315,66781315,3.88,1.72,227.0775,"September 19, 24",0.0172
12,2024-09-18,217.55,222.71,217.54,220.69,220.69,59894928,59894928,3.14,1.44,219.6225,"September 18, 24",0.0144
13,2024-09-17,215.75,216.9,214.5,216.79,216.79,45519339,45519339,1.04,0.48204,215.985,"September 17, 24",0.0048204
14,2024-09-16,216.54,217.22,213.92,216.32,216.32,59357427,59357427,-0.22,-0.1016,216.0,"September 16, 24",-0.001016
15,2024-09-13,223.58,224.04,221.91,222.5,222.5,36766619,36766619,-1.08,-0.48305,223.0075,"September 13, 24",-0.0048305
16,2024-09-12,222.5,223.55,219.82,222.77,222.77,37498225,37498225,0.27,0.12135,222.16,"September 12, 24",0.0012135
17,2024-09-11,221.46,223.09,217.89,222.66,222.66,44587100,44587100,1.2,0.54186,221.275,"September 11, 24",0.0054186
18,2024-09-10,218.92,221.48,216.73,220.11,220.11,51591033,51591033,1.19,0.54358,219.31,"September 10, 24",0.0054358
19,2024-09-09,220.82,221.27,216.71,220.91,220.91,67180000,67180000,0.09,0.04075718,219.9275,"September 09, 24",0.0004075718
20,2024-09-06,223.95,225.24,219.77,220.82,220.82,48423011,48423011,-3.13,-1.4,222.445,"September 06, 24",-0.014
21,2024-09-05,221.63,225.48,221.52,222.38,222.38,36615400,36615400,0.755,0.3384,222.7525,"September 05, 24",0.003384
22,2024-09-04,221.66,221.78,217.48,220.85,220.85,43840200,43840200,-0.81,-0.36542,220.4425,"September 04, 24",-0.0036542
23,2024-09-03,228.55,229.0,221.17,222.77,222.77,50190600,50190600,-5.78,-2.53,225.3725,"September 03, 24",-0.0253
24,2024-08-30,230.19,230.4,227.48,229.0,229.0,52990800,52990800,-1.19,-0.51696,229.2675,"August 30, 24",-0.0051696
25,2024-08-29,230.1,232.92,228.88,229.79,229.79,51906300,51906300,-0.31,-0.13472,230.4225,"August 29, 24",-0.0013472
26,2024-08-28,227.92,229.86,225.68,226.49,226.49,38052200,38052200,-1.43,-0.62741,227.4875,"August 28, 24",-0.0062741
27,2024-08-27,226.0,228.85,224.89,228.03,228.03,35934600,35934600,2.03,0.89823,226.9425,"August 27, 24",0.0089823
28,2024-08-26,226.76,227.28,223.89,227.18,227.18,30602208,30602208,0.42,0.18522,226.2775,"August 26, 24",0.0018522
29,2024-08-23,225.66,228.22,224.33,226.84,226.84,38677300,38677300,1.18,0.52291,226.2625,"August 23, 24",0.0052291
30,2024-08-22,227.79,228.34,223.9,224.53,224.53,43695321,43695321,-3.26,-1.43,226.14,"August 22, 24",-0.0143
31,2024-08-21,226.52,227.98,225.05,226.4,226.4,34765500,34765500,-0.12,-0.05297545,226.4875,"August 21, 24",-0.0005297545
32,2024-08-20,225.77,227.17,225.45,226.51,226.51,30299033,30299033,0.74,0.32777,226.225,"August 20, 24",0.0032777
33,2024-08-19,225.72,225.99,223.04,225.89,225.89,40687813,40687813,0.17,0.07531455,225.16,"August 19, 24",0.0007531455
34,2024-08-16,223.92,226.83,223.65,226.05,226.05,44340240,44340240,2.13,0.95123,225.1125,"August 16, 24",0.0095123
35,2024-08-15,224.6,225.35,222.76,224.72,224.72,46414013,46414013,0.12,0.05342832,224.3575,"August 15, 24",0.0005342832
36,2024-08-14,220.57,223.03,219.7,221.72,221.72,41960600,41960600,1.15,0.52138,221.255,"August 14, 24",0.0052138
37,2024-08-13,219.01,221.89,219.01,221.27,221.27,44155331,44155331,2.26,1.03,220.295,"August 13, 24",0.0103
38,2024-08-12,216.07,219.51,215.6,217.53,217.53,38028100,38028100,1.46,0.67571,217.1775,"August 12, 24",0.0067571
39,2024-08-09,212.1,216.78,211.97,216.24,215.99,42201646,42201646,4.14,1.95,214.2725,"August 09, 24",0.0195
40,2024-08-08,213.11,214.2,208.83,213.31,213.06,47161149,47161149,0.2,0.09384825,212.3625,"August 08, 24",0.0009384825
41,2024-08-07,206.9,213.64,206.39,209.82,209.58,63516417,63516417,2.92,1.41,209.1875,"August 07, 24",0.0141
42,2024-08-06,205.3,209.99,201.07,207.23,206.99,69660500,69660500,1.93,0.94009,205.8975,"August 06, 24",0.0094009
43,2024-08-05,199.09,213.5,196.0,209.27,209.03,119548600,119548600,10.18,5.11,204.465,"August 05, 24",0.0511
44,2024-08-02,219.15,225.6,217.71,219.86,219.61,105568600,105568600,0.71,0.32398,220.58,"August 02, 24",0.0032398
45,2024-08-01,224.37,224.48,217.02,218.36,218.11,62501000,62501000,-6.01,-2.68,221.0575,"August 01, 24",-0.0268
46,2024-07-31,221.44,223.82,220.63,222.08,221.82,50036300,50036300,0.64,0.28902,221.9925,"July 31, 24",0.0028902
47,2024-07-30,219.19,220.33,216.12,218.8,218.55,41643840,41643840,-0.39,-0.17793,218.61,"July 30, 24",-0.0017793
48,2024-07-29,216.96,219.3,215.75,218.24,217.99,36311800,36311800,1.28,0.58997,217.5625,"July 29, 24",0.0058997
49,2024-07-26,218.7,219.49,216.01,217.96,217.71,41601345,41601345,-0.74,-0.33836,218.04,"July 26, 24",-0.0033836
50,2024-07-25,218.93,220.85,214.62,217.49,217.24,51391200,51391200,-1.44,-0.65774,217.9725,"July 25, 24",-0.0065774
51,2024-07-24,224.0,224.8,217.13,218.54,218.29,61777600,61777600,-5.46,-2.44,221.1175,"July 24, 24",-0.0244
52,2024-07-23,224.37,226.94,222.68,225.01,224.75,39960300,39960300,0.645,0.28524,224.75,"July 23, 24",0.0028524
53,2024-07-22,227.01,227.78,223.09,223.96,223.7,48201835,48201835,-3.05,-1.34,225.46,"July 22, 24",-0.0134
54,2024-07-19,224.82,226.8,223.28,224.31,224.05,49151453,49151453,-0.51,-0.22685,224.8025,"July 19, 24",-0.0022685
55,2024-07-18,230.28,230.44,222.27,224.18,223.92,66034585,66034585,-6.1,-2.65,226.7925,"July 18, 24",-0.0265
56,2024-07-17,229.45,231.46,226.64,228.88,228.62,57345884,57345884,-0.57,-0.24842,229.1075,"July 17, 24",-0.0024842
57,2024-07-16,235.0,236.27,232.33,234.82,234.55,43234278,43234278,-0.18,-0.07659574,234.605,"July 16, 24",-0.0007659574
