,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-10-04,166.53,171.21,164.42,170.9,170.9,44640296,44640296,4.37,2.62,168.265,"October 04, 24",0.0262
1,2024-10-03,159.71,166.79,159.4,162.85,162.85,29598800,29598800,3.14,1.97,162.1875,"October 03, 24",0.0197
2,2024-10-02,159.31,163.1,158.67,159.78,159.78,24630431,24630431,0.47,0.29502,160.215,"October 02, 24",0.0029502
3,2024-10-01,164.48,165.4,158.08,159.75,159.75,31831900,31831900,-4.73,-2.88,161.9275,"October 01, 24",-0.0288
4,2024-09-30,163.1,165.08,162.18,164.08,164.08,21920300,21920300,0.98,0.60086,163.61,"September 30, 24",0.0060086
5,2024-09-27,167.48,168.73,163.74,164.35,164.35,27876037,27876037,-3.13,-1.87,166.075,"September 27, 24",-0.0187
6,2024-09-26,167.06,168.68,164.05,167.49,167.49,38044919,38044919,0.435,0.25739,166.82,"September 26, 24",0.0025739
7,2024-09-25,158.5,162.95,158.18,162.02,162.02,35233300,35233300,3.52,2.22,160.4125,"September 25, 24",0.0222
8,2024-09-24,157.46,159.64,154.58,158.32,158.32,27531200,27531200,0.86,0.54617,157.5,"September 24, 24",0.0054617
9,2024-09-23,156.45,157.19,154.97,156.75,156.75,21728542,21728542,0.305,0.19175,156.34,"September 23, 24",0.0019175
10,2024-09-20,156.0,157.45,152.47,155.95,155.95,40248201,40248201,-0.05,-0.03205128,155.4675,"September 20, 24",-0.0003205128
11,2024-09-19,153.81,159.25,152.77,156.74,156.74,44500000,44500000,2.93,1.9,155.6425,"September 19, 24",0.019
12,2024-09-18,150.9,152.82,148.01,148.29,148.29,26320100,26320100,-2.61,-1.73,150.005,"September 18, 24",-0.0173
13,2024-09-17,153.55,154.04,149.23,150.82,150.82,29889000,29889000,-2.73,-1.78,151.91,"September 17, 24",-0.0178
14,2024-09-16,151.7,154.44,150.91,152.08,152.08,27677800,27677800,0.38,0.25049,152.2825,"September 16, 24",0.0025049
15,2024-09-13,152.32,153.03,150.7,152.31,152.31,25117241,25117241,-0.01,-0.00656513,152.09,"September 13, 24",-6.56513e-05
16,2024-09-12,148.43,151.54,147.65,150.77,150.77,29286200,29286200,2.34,1.58,149.5975,"September 12, 24",0.0158
17,2024-09-11,145.32,150.16,140.71,149.86,149.86,50935400,50935400,4.54,3.12,146.5125,"September 11, 24",0.0312
18,2024-09-10,139.06,143.08,137.25,142.84,142.84,37217528,37217528,3.78,2.72,140.5575,"September 10, 24",0.0272
19,2024-09-09,136.1,138.45,134.86,138.15,138.15,27194508,27194508,2.05,1.51,136.89,"September 09, 24",0.0151
20,2024-09-06,138.7,139.13,132.11,134.35,134.35,39993507,39993507,-4.35,-3.14,136.0725,"September 06, 24",-0.0314
21,2024-09-05,138.2,141.71,137.83,139.44,139.44,25023021,25023021,1.24,0.89725,139.295,"September 05, 24",0.0089725
22,2024-09-04,140.51,143.37,138.51,140.87,140.87,42130648,42130648,0.365,0.25621,140.815,"September 04, 24",0.0025621
23,2024-09-03,146.41,146.49,136.1,136.94,136.94,42172700,42172700,-9.47,-6.47,141.485,"September 03, 24",-0.0647
24,2024-08-30,147.52,148.99,145.25,148.56,148.56,31169100,31169100,1.04,0.70499,147.58,"August 30, 24",0.0070499
25,2024-08-29,146.59,149.49,144.47,145.49,145.49,31602113,31602113,-1.1,-0.75039,146.51,"August 29, 24",-0.0075039
26,2024-08-28,149.4,150.43,144.72,146.36,146.36,34075823,34075823,-3.04,-2.03,147.7275,"August 28, 24",-0.0203
27,2024-08-27,150.13,151.7,148.44,150.5,150.5,35102700,35102700,0.37,0.24645,150.1925,"August 27, 24",0.0024645
28,2024-08-26,154.7,158.28,148.91,149.99,149.99,49893300,49893300,-4.71,-3.04,152.97,"August 26, 24",-0.0304
29,2024-08-23,153.6,156.4,151.83,154.98,154.98,43694642,43694642,1.38,0.89844,154.2025,"August 23, 24",0.0089844
30,2024-08-22,158.87,159.84,151.01,151.7,151.7,45737300,45737300,-7.17,-4.51,155.355,"August 22, 24",-0.0451
31,2024-08-21,156.12,158.65,155.07,157.81,157.81,42791246,42791246,1.69,1.08,156.9125,"August 21, 24",0.0108
32,2024-08-20,156.49,162.04,154.51,156.4,156.4,76851200,76851200,-0.09,-0.05751166,157.36,"August 20, 24",-0.0005751166
33,2024-08-19,148.43,155.37,147.72,155.28,155.28,60766900,60766900,6.85,4.61,151.7,"August 19, 24",0.0461
34,2024-08-16,145.7,149.37,145.2,148.56,148.56,31123927,31123927,2.86,1.96,147.2075,"August 16, 24",0.0196
35,2024-08-15,143.0,147.96,141.81,147.36,147.36,43582400,43582400,4.36,3.05,145.0325,"August 15, 24",0.0305
