,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-10-04,960.74,960.74,931.03,949.19,949.19,491906,491906,-11.55,-1.2,950.425,"October 04, 24",-0.012
1,2024-10-03,953.57,958.63,949.49,951.49,951.49,511292,511292,-2.08,-0.21813,953.295,"October 03, 24",-0.0021813
2,2024-10-02,939.87,957.28,933.0,957.25,957.25,368283,368283,17.38,1.85,946.85,"October 02, 24",0.0185
3,2024-10-01,945.32,945.32,918.96,934.02,934.02,543932,543932,-11.3,-1.2,935.905,"October 01, 24",-0.012
4,2024-09-30,944.29,951.27,935.97,949.51,949.51,362331,362331,5.22,0.5528,945.26,"September 30, 24",0.005528
5,2024-09-27,945.47,950.35,942.1,945.21,945.21,472522,472522,-0.26,-0.02749955,945.7825,"September 27, 24",-0.0002749955
6,2024-09-26,945.0,952.75,939.41,945.02,945.02,459569,459569,0.02,0.0021164,945.545,"September 26, 24",2.1164e-05
7,2024-09-25,942.72,942.84,934.61,936.8,936.8,476839,476839,-5.92,-0.62797,939.2425,"September 25, 24",-0.0062797
8,2024-09-24,934.0,942.16,930.0,941.23,941.23,366529,366529,7.23,0.77409,936.8475,"September 24, 24",0.0077409
9,2024-09-23,929.97,939.46,928.79,937.61,937.61,396587,396587,7.64,0.82153,933.9575,"September 23, 24",0.0082153
10,2024-09-20,930.67,931.79,924.63,928.79,928.79,970244,970244,-1.88,-0.20201,928.97,"September 20, 24",-0.0020201
11,2024-09-19,938.25,942.73,925.72,934.87,934.87,625501,625501,-3.38,-0.36025,935.3925,"September 19, 24",-0.0036025
12,2024-09-18,911.81,930.5,905.75,922.71,922.71,656407,656407,10.9,1.2,917.6925,"September 18, 24",0.012
13,2024-09-17,897.35,908.88,895.19,904.52,904.52,416949,416949,7.17,0.79902,901.485,"September 17, 24",0.0079902
14,2024-09-16,888.34,895.9,886.6,895.18,895.18,380900,380900,6.84,0.76998,891.505,"September 16, 24",0.0076998
15,2024-09-13,888.14,892.14,882.68,885.73,885.73,406900,406900,-2.41,-0.27135,887.1725,"September 13, 24",-0.0027135
16,2024-09-12,880.83,886.47,874.38,885.12,885.12,479019,479019,4.29,0.48704,881.7,"September 12, 24",0.0048704
17,2024-09-11,878.44,878.49,854.16,877.12,877.12,432016,432016,-1.32,-0.15027,872.0525,"September 11, 24",-0.0015027
18,2024-09-10,886.22,886.22,869.32,883.83,883.83,269900,269900,-2.39,-0.26968,881.3975,"September 10, 24",-0.0026968
19,2024-09-09,873.44,884.01,870.92,877.94,877.94,394800,394800,4.5,0.5152,876.5775,"September 09, 24",0.005152
20,2024-09-06,878.14,884.76,861.11,866.92,861.82,748945,748945,-11.22,-1.28,872.7325,"September 06, 24",-0.0128
21,2024-09-05,889.7,889.7,873.14,876.64,871.48,426067,426067,-13.06,-1.47,882.295,"September 05, 24",-0.0147
22,2024-09-04,880.33,890.7,879.18,886.49,881.27,356689,356689,6.16,0.69974,884.175,"September 04, 24",0.0069974
23,2024-09-03,899.07,900.0,881.01,886.43,881.22,433546,433546,-12.64,-1.41,891.6275,"September 03, 24",-0.0141
24,2024-08-30,898.29,903.46,889.96,901.81,896.5,478238,478238,3.52,0.39186,898.38,"August 30, 24",0.0039186
25,2024-08-29,888.66,898.66,884.78,894.87,889.61,417957,417957,6.21,0.6988,891.7425,"August 29, 24",0.006988
26,2024-08-28,886.44,895.44,883.71,888.66,883.43,441255,441255,2.22,0.25044,888.5625,"August 28, 24",0.0025044
27,2024-08-27,883.5,888.0,878.7,886.13,880.92,300431,300431,2.63,0.29768,884.0825,"August 27, 24",0.0029768
28,2024-08-26,882.76,889.0,878.78,883.14,877.94,413854,413854,0.38,0.04304681,883.42,"August 26, 24",0.0004304681
