,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-10-04,52.8,52.91,52.41,52.75,52.75,11698809,11698809,-0.05,-0.09469697,52.7175,"October 04, 24",-0.0009469697
1,2024-10-03,52.19,52.66,52.16,52.43,52.43,11029127,11029127,0.24,0.45986,52.36,"October 03, 24",0.0045986
2,2024-10-02,52.4,52.84,52.13,52.62,52.62,11071300,11071300,0.225,0.41985,52.4975,"October 02, 24",0.0041985
3,2024-10-01,53.11,53.2,52.31,52.74,52.34,16621842,16621842,-0.37,-0.69667,52.84,"October 01, 24",-0.0069667
4,2024-09-30,53.02,53.31,52.65,53.22,52.82,17807632,17807632,0.2,0.37722,53.05,"September 30, 24",0.0037722
5,2024-09-27,53.04,53.22,52.86,53.02,52.62,13868340,13868340,-0.02,-0.03770739,53.035,"September 27, 24",-0.0003770739
6,2024-09-26,53.0,53.29,52.76,52.85,52.45,18374000,18374000,-0.15,-0.28302,52.975,"September 26, 24",-0.0028302
7,2024-09-25,52.57,52.73,52.37,52.65,52.25,22422200,22422200,0.08,0.15218,52.58,"September 25, 24",0.0015218
8,2024-09-24,52.21,52.57,52.01,52.52,52.12,26479300,26479300,0.31,0.59376,52.3275,"September 24, 24",0.0059376
9,2024-09-23,52.06,52.44,51.89,52.19,51.79,18343400,18343400,0.13,0.24971,52.145,"September 23, 24",0.0024971
10,2024-09-20,51.45,52.33,51.42,51.97,51.58,44096635,44096635,0.52,1.01,51.7925,"September 20, 24",0.0101
11,2024-09-19,51.41,51.72,51.15,51.44,51.05,16274000,16274000,0.03,0.05835441,51.43,"September 19, 24",0.0005835441
12,2024-09-18,50.39,51.14,50.27,50.57,50.19,12697700,12697700,0.18,0.35721,50.5925,"September 18, 24",0.0035721
13,2024-09-17,51.02,51.42,50.57,50.61,50.23,13230300,13230300,-0.41,-0.80361,50.905,"September 17, 24",-0.0080361
14,2024-09-16,49.88,51.07,49.78,51.03,50.64,16668244,16668244,1.15,2.31,50.44,"September 16, 24",0.0231
15,2024-09-13,49.74,50.06,49.67,49.8,49.42,10168934,10168934,0.06,0.12063,49.8175,"September 13, 24",0.0012063
16,2024-09-12,49.09,49.64,48.86,49.61,49.23,13236900,13236900,0.52,1.06,49.3,"September 12, 24",0.0106
17,2024-09-11,48.75,49.21,47.85,49.11,48.74,15106600,15106600,0.36,0.73846,48.73,"September 11, 24",0.0073846
18,2024-09-10,48.79,48.97,48.44,48.79,48.42,11754935,11754935,0.0,0.0,48.7475,"September 10, 24",0.0
19,2024-09-09,48.47,49.15,48.26,48.7,48.33,18677600,18677600,0.23,0.47452,48.645,"September 09, 24",0.0047452
20,2024-09-06,48.87,49.23,48.2,48.5,48.13,21040500,21040500,-0.37,-0.75711,48.7,"September 06, 24",-0.0075711
21,2024-09-05,49.5,49.65,48.94,49.13,48.76,16312000,16312000,-0.37,-0.74747,49.305,"September 05, 24",-0.0074747
22,2024-09-04,49.82,50.04,49.58,49.7,49.32,16411747,16411747,-0.12,-0.24087,49.785,"September 04, 24",-0.0024087
23,2024-09-03,50.31,50.5,49.9,50.06,49.68,14918600,14918600,-0.25,-0.49692,50.1925,"September 03, 24",-0.0049692
24,2024-08-30,50.55,50.69,50.07,50.54,50.16,15615800,15615800,-0.01,-0.01978239,50.4625,"August 30, 24",-0.0001978239
25,2024-08-29,49.97,50.82,49.88,50.39,50.01,16324100,16324100,0.42,0.8405,50.265,"August 29, 24",0.008405
26,2024-08-28,50.45,50.57,49.41,49.85,49.47,14571400,14571400,-0.6,-1.19,50.07,"August 28, 24",-0.0119
27,2024-08-27,50.67,50.84,50.4,50.71,50.33,10243900,10243900,0.04,0.07894217,50.655,"August 27, 24",0.0007894217
28,2024-08-26,50.79,51.02,50.72,50.79,50.4,12016800,12016800,0.0,0.0,50.83,"August 26, 24",0.0
29,2024-08-23,50.51,50.77,50.32,50.74,50.36,16474100,16474100,0.23,0.45536,50.585,"August 23, 24",0.0045536
30,2024-08-22,50.72,50.93,50.18,50.22,49.84,19143128,19143128,-0.495,-0.9858,50.5125,"August 22, 24",-0.009858
31,2024-08-21,50.29,50.55,50.03,50.45,50.07,21177600,21177600,0.16,0.31815,50.33,"August 21, 24",0.0031815
32,2024-08-20,49.98,50.37,49.6,50.24,49.86,18697300,18697300,0.26,0.52021,50.0475,"August 20, 24",0.0052021
33,2024-08-19,49.33,49.99,49.3,49.98,49.6,16436600,16436600,0.65,1.32,49.65,"August 19, 24",0.0132
34,2024-08-16,48.64,49.73,48.5,49.46,49.08,27424900,27424900,0.82,1.69,49.0825,"August 16, 24",0.0169
35,2024-08-15,48.75,50.28,48.16,48.53,48.16,45976400,45976400,-0.22,-0.45128,48.93,"August 15, 24",-0.0045128
36,2024-08-14,45.14,45.74,45.04,45.44,45.1,30675615,30675615,0.3,0.6646,45.34,"August 14, 24",0.006646
37,2024-08-13,44.98,45.39,44.89,45.37,45.03,20976915,20976915,0.39,0.86705,45.1575,"August 13, 24",0.0086705
38,2024-08-12,45.53,45.74,44.5,44.86,44.52,20289549,20289549,-0.67,-1.47,45.1575,"August 12, 24",-0.0147
39,2024-08-09,45.7,46.06,45.24,45.47,45.13,21217648,21217648,-0.23,-0.50328,45.6175,"August 09, 24",-0.0050328
40,2024-08-08,45.28,46.27,45.28,45.83,45.48,18369103,18369103,0.55,1.21,45.665,"August 08, 24",0.0121
41,2024-08-07,45.42,46.21,45.09,45.12,44.78,18301125,18301125,-0.3,-0.6605,45.46,"August 07, 24",-0.006605
42,2024-08-06,44.75,45.74,44.64,45.16,44.82,20524013,20524013,0.41,0.9162,45.0725,"August 06, 24",0.009162
43,2024-08-05,46.55,46.68,44.69,44.74,44.4,29669600,29669600,-1.81,-3.89,45.665,"August 05, 24",-0.0389
44,2024-08-02,47.68,47.75,46.35,46.66,46.31,24000200,24000200,-1.02,-2.14,47.11,"August 02, 24",-0.0214
45,2024-08-01,48.62,48.72,47.2,47.39,47.03,18837522,18837522,-1.23,-2.53,47.9825,"August 01, 24",-0.0253
46,2024-07-31,48.41,48.77,48.24,48.45,48.08,19953600,19953600,0.04,0.08262756,48.4675,"July 31, 24",0.0008262756
47,2024-07-30,48.19,48.55,47.89,48.14,47.77,20166000,20166000,-0.05,-0.10376,48.1925,"July 30, 24",-0.0010376
48,2024-07-29,47.82,48.21,47.44,47.99,47.63,11475700,11475700,0.17,0.3555,47.865,"July 29, 24",0.003555
49,2024-07-26,47.32,48.01,47.24,47.88,47.52,16104900,16104900,0.56,1.18,47.6125,"July 26, 24",0.0118
50,2024-07-25,47.37,48.19,47.06,47.24,46.88,20631200,20631200,-0.13,-0.27444,47.465,"July 25, 24",-0.0027444
51,2024-07-24,46.54,47.04,46.24,46.85,46.49,25318239,25318239,0.315,0.66609,46.6675,"July 24, 24",0.0066609
52,2024-07-23,46.75,46.78,46.34,46.36,46.01,16372011,16372011,-0.385,-0.83422,46.5575,"July 23, 24",-0.0083422
53,2024-07-22,47.32,47.38,46.77,46.82,46.46,19899400,19899400,-0.5,-1.06,47.0725,"July 22, 24",-0.0106
54,2024-07-19,48.09,48.1,47.14,47.32,46.96,18289200,18289200,-0.77,-1.6,47.6625,"July 19, 24",-0.016
55,2024-07-18,48.15,48.64,47.98,48.04,47.68,18462500,18462500,-0.11,-0.22845,48.2025,"July 18, 24",-0.0022845
56,2024-07-17,47.46,48.74,47.35,48.52,48.15,26638700,26638700,1.06,2.23,48.0175,"July 17, 24",0.0223
57,2024-07-16,47.45,47.97,47.22,47.42,47.06,17037334,17037334,-0.03,-0.06322445,47.515,"July 16, 24",-0.0006322445
58,2024-07-15,47.41,47.49,46.79,47.4,47.04,15925934,15925934,-0.01,-0.0210926,47.2725,"July 15, 24",-0.000210926
59,2024-07-12,46.78,47.86,46.65,47.38,47.02,20936110,20936110,0.6,1.28,47.1675,"July 12, 24",0.0128
60,2024-07-11,46.18,46.91,46.18,46.76,46.41,19748697,19748697,0.585,1.26,46.5075,"July 11, 24",0.0126
61,2024-07-10,46.06,46.29,45.83,46.27,45.92,18737313,18737313,0.215,0.45593,46.1125,"July 10, 24",0.0045593
62,2024-07-09,46.0,46.1,45.65,45.8,45.45,17346619,17346619,-0.2,-0.43478,45.8875,"July 09, 24",-0.0043478
63,2024-07-08,46.35,46.78,45.95,46.06,45.71,19320900,19320900,-0.29,-0.62567,46.285,"July 08, 24",-0.0062567
64,2024-07-05,46.43,46.76,46.31,46.65,46.3,14692600,14692600,0.22,0.47383,46.5375,"July 05, 24",0.0047383
65,2024-07-03,47.15,47.52,47.04,47.09,46.34,8118300,8118300,-0.06,-0.12725,47.2,"July 03, 24",-0.0012725
66,2024-07-02,47.4,47.79,46.96,47.28,46.52,19794236,19794236,-0.12,-0.25316,47.3575,"July 02, 24",-0.0025316
67,2024-07-01,47.48,47.84,47.35,47.52,46.76,17776003,17776003,0.04,0.084246,47.5475,"July 01, 24",0.00084246
68,2024-06-28,47.55,47.86,47.34,47.51,46.75,23921100,23921100,-0.04,-0.08412198,47.565,"June 28, 24",-0.0008412198
69,2024-06-27,46.78,47.51,46.77,47.45,46.69,16541900,16541900,0.67,1.43,47.1275,"June 27, 24",0.0143
70,2024-06-26,47.06,47.41,46.8,46.86,46.11,13981318,13981318,-0.2,-0.42499,47.0325,"June 26, 24",-0.0042499
71,2024-06-25,47.27,47.82,46.99,47.38,46.62,17793635,17793635,0.11,0.23271,47.365,"June 25, 24",0.0023271
72,2024-06-24,47.49,47.78,47.02,47.28,46.52,19136200,19136200,-0.21,-0.4422,47.3925,"June 24, 24",-0.004422
73,2024-06-21,47.1,47.84,47.05,47.29,46.53,65576300,65576300,0.19,0.4034,47.32,"June 21, 24",0.004034
74,2024-06-20,45.91,46.87,45.86,46.72,45.97,25613200,25613200,0.81,1.76,46.34,"June 20, 24",0.0176
75,2024-06-18,45.5,45.99,45.5,45.97,45.23,17627022,17627022,0.47,1.03,45.74,"June 18, 24",0.0103
76,2024-06-17,45.4,45.71,44.95,45.69,44.96,16382000,16382000,0.29,0.63877,45.4375,"June 17, 24",0.0063877
77,2024-06-14,45.32,45.71,44.97,45.68,44.95,15274200,15274200,0.36,0.79435,45.42,"June 14, 24",0.0079435
78,2024-06-13,45.42,45.55,45.12,45.52,44.79,16149013,16149013,0.1,0.22017,45.4025,"June 13, 24",0.0022017
79,2024-06-12,45.99,46.08,45.39,45.62,44.89,16803100,16803100,-0.37,-0.80452,45.77,"June 12, 24",-0.0080452
80,2024-06-11,45.69,45.93,45.36,45.77,45.04,17450742,17450742,0.08,0.17509,45.6875,"June 11, 24",0.0017509
81,2024-06-10,45.8,45.86,45.27,45.85,45.12,13404610,13404610,0.05,0.10917,45.695,"June 10, 24",0.0010917
82,2024-06-07,45.95,46.29,45.79,45.84,45.11,15734605,15734605,-0.114,-0.23939,45.9675,"June 07, 24",-0.0023939
83,2024-06-06,45.94,46.39,45.78,46.23,45.49,15456100,15456100,0.29,0.63126,46.085,"June 06, 24",0.0063126
84,2024-06-05,47.52,47.63,45.64,46.02,45.28,28746400,28746400,-1.5,-3.16,46.7025,"June 05, 24",-0.0316
85,2024-06-04,46.65,47.6,46.51,47.42,46.66,23330316,23330316,0.77,1.65,47.045,"June 04, 24",0.0165
86,2024-06-03,46.72,46.77,46.28,46.65,45.9,23295000,23295000,-0.07,-0.14983,46.605,"June 03, 24",-0.0014983
87,2024-05-31,46.14,46.57,46.01,46.5,45.76,39269100,39269100,0.36,0.78023,46.305,"May 31, 24",0.0078023
88,2024-05-30,46.1,46.46,46.0,46.12,45.38,19898124,19898124,0.02,0.04338395,46.17,"May 30, 24",0.0004338395
89,2024-05-29,45.9,46.33,45.85,46.08,45.34,16001100,16001100,0.18,0.39216,46.04,"May 29, 24",0.0039216
90,2024-05-28,46.15,46.89,45.98,46.28,45.54,18178800,18178800,0.128,0.28169,46.325,"May 28, 24",0.0028169
91,2024-05-24,46.63,46.8,46.38,46.42,45.68,11941076,11941076,-0.21,-0.45035,46.5575,"May 24, 24",-0.0045035
92,2024-05-23,47.15,47.19,46.51,46.6,45.85,18837547,18837547,-0.55,-1.17,46.8625,"May 23, 24",-0.0117
93,2024-05-22,47.1,47.84,47.04,47.43,46.67,19940627,19940627,0.33,0.70064,47.3525,"May 22, 24",0.0070064
94,2024-05-21,47.12,47.15,46.61,46.94,46.19,25172249,25172249,-0.18,-0.382,46.955,"May 21, 24",-0.00382
95,2024-05-20,48.0,48.07,47.01,47.13,46.38,22040700,22040700,-0.87,-1.81,47.5525,"May 20, 24",-0.0181
96,2024-05-17,48.26,48.56,48.11,48.17,47.4,22020305,22020305,-0.09,-0.18649,48.275,"May 17, 24",-0.0018649
97,2024-05-16,50.08,50.11,48.17,48.34,47.57,47829400,47829400,-1.74,-3.47,49.175,"May 16, 24",-0.0347
98,2024-05-15,49.19,49.73,48.73,49.67,48.87,37342100,37342100,0.48,0.97581,49.33,"May 15, 24",0.0097581
99,2024-05-14,48.98,49.18,48.35,48.95,48.17,17379728,17379728,-0.03,-0.06124949,48.865,"May 14, 24",-0.0006124949
100,2024-05-13,48.31,48.82,48.23,48.68,47.9,15149100,15149100,0.37,0.76589,48.51,"May 13, 24",0.0076589
101,2024-05-10,48.0,48.1,47.7,48.06,47.29,12096900,12096900,0.06,0.125,47.965,"May 10, 24",0.00125
102,2024-05-09,48.0,48.09,47.65,47.79,47.02,12449345,12449345,-0.21,-0.4375,47.8825,"May 09, 24",-0.004375
103,2024-05-08,47.44,48.14,47.25,48.0,47.23,15130200,15130200,0.56,1.18,47.7075,"May 08, 24",0.0118
104,2024-05-07,47.21,47.46,47.01,47.28,46.52,14308200,14308200,0.07,0.14827,47.24,"May 07, 24",0.0014827
105,2024-05-06,47.22,47.44,46.97,47.11,46.36,14163000,14163000,-0.11,-0.23295,47.185,"May 06, 24",-0.0023295
106,2024-05-03,47.1,47.4,46.84,47.12,46.37,17935302,17935302,0.02,0.04246285,47.115,"May 03, 24",0.0004246285
