,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-10-04,418.24,419.75,414.97,416.06,416.06,19190913,19190913,-2.18,-0.52123,417.255,"October 04, 24",-0.0052123
1,2024-10-03,417.63,419.55,414.29,416.54,416.54,13686421,13686421,-1.09,-0.261,417.0025,"October 03, 24",-0.00261
2,2024-10-02,422.58,422.82,416.71,417.13,417.13,16582300,16582300,-5.45,-1.29,419.81,"October 02, 24",-0.0129
3,2024-10-01,428.45,428.48,418.81,420.69,420.69,19092945,19092945,-7.76,-1.81,424.1075,"October 01, 24",-0.0181
4,2024-09-30,428.21,430.42,425.37,430.3,430.3,16854606,16854606,2.09,0.48808,428.575,"September 30, 24",0.0048808
5,2024-09-27,431.52,431.85,427.47,428.02,428.02,14896131,14896131,-3.5,-0.81109,429.715,"September 27, 24",-0.0081109
6,2024-09-26,435.09,435.3,429.13,431.31,431.31,14492044,14492044,-3.77,-0.86879,432.7075,"September 26, 24",-0.0086879
7,2024-09-25,429.83,433.12,428.57,432.11,432.11,13396400,13396400,2.28,0.53044,430.9075,"September 25, 24",0.0053044
8,2024-09-24,433.0,433.35,426.1,429.17,429.17,17015800,17015800,-3.83,-0.88453,430.405,"September 24, 24",-0.0088453
9,2024-09-23,434.28,436.46,430.39,433.51,433.51,15128900,15128900,-0.77,-0.1773,433.66,"September 23, 24",-0.001773
10,2024-09-20,437.22,439.24,434.22,435.27,435.27,55167106,55167106,-1.95,-0.446,436.4875,"September 20, 24",-0.00446
11,2024-09-19,441.23,441.5,436.9,438.69,438.69,21706600,21706600,-2.54,-0.57566,439.58,"September 19, 24",-0.0057566
12,2024-09-18,435.0,436.03,430.41,430.81,430.81,18898042,18898042,-4.19,-0.96322,433.0625,"September 18, 24",-0.0096322
13,2024-09-17,440.23,441.85,432.27,435.15,435.15,18874231,18874231,-5.08,-1.15,437.375,"September 17, 24",-0.0115
14,2024-09-16,430.6,433.53,428.22,431.34,431.34,13834700,13834700,0.74,0.17185,430.9225,"September 16, 24",0.0017185
15,2024-09-13,425.83,431.83,425.46,430.59,430.59,15874600,15874600,4.76,1.12,428.4275,"September 13, 24",0.0112
16,2024-09-12,423.31,427.37,419.75,427.0,427.0,17418800,17418800,3.69,0.8717,424.3575,"September 12, 24",0.008717
17,2024-09-11,415.5,423.99,409.58,423.04,423.04,19266923,19266923,7.54,1.81,418.0275,"September 11, 24",0.0181
18,2024-09-10,408.2,416.33,407.7,414.2,414.2,19594300,19594300,6.0,1.47,411.6075,"September 10, 24",0.0147
19,2024-09-09,407.24,408.65,402.15,405.72,405.72,15295134,15295134,-1.52,-0.37324,405.94,"September 09, 24",-0.0037324
20,2024-09-06,409.06,410.65,400.8,401.7,401.7,19609526,19609526,-7.36,-1.8,405.5525,"September 06, 24",-0.018
21,2024-09-05,407.62,413.1,406.13,408.39,408.39,14195516,14195516,0.77,0.1889,408.81,"September 05, 24",0.001889
22,2024-09-04,405.91,411.24,404.37,408.9,408.9,15135806,15135806,2.99,0.73662,407.605,"September 04, 24",0.0073662
23,2024-09-03,417.91,419.88,407.03,409.44,409.44,20313603,20313603,-8.47,-2.03,413.565,"September 03, 24",-0.0203
24,2024-08-30,415.6,417.49,412.13,417.14,417.14,24308324,24308324,1.54,0.37055,415.59,"August 30, 24",0.0037055
25,2024-08-29,414.94,422.05,410.6,413.12,413.12,17045241,17045241,-1.82,-0.43862,415.1775,"August 29, 24",-0.0043862
26,2024-08-28,414.88,415.0,407.31,410.6,410.6,14882700,14882700,-4.28,-1.03,411.9475,"August 28, 24",-0.0103
27,2024-08-27,412.86,414.36,410.25,413.84,413.84,13492911,13492911,0.98,0.23737,412.8275,"August 27, 24",0.0023737
28,2024-08-26,416.37,417.28,411.34,413.49,413.49,13152830,13152830,-2.87,-0.69169,414.62,"August 26, 24",-0.0069169
29,2024-08-23,416.98,419.26,412.09,416.79,416.79,18493800,18493800,-0.19,-0.04556573,416.28,"August 23, 24",-0.0004556573
30,2024-08-22,424.36,426.79,414.61,415.55,415.55,19361901,19361901,-8.81,-2.08,420.3275,"August 22, 24",-0.0208
