,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-10-04,168.71,170.9,168.17,170.86,170.86,6354501,6354501,2.15,1.27,169.66,"October 04, 24",0.0127
1,2024-10-03,166.89,167.86,166.24,166.86,166.86,4735708,4735708,-0.03,-0.01797591,166.9625,"October 03, 24",-0.0001797591
2,2024-10-02,167.6,169.18,167.27,167.71,167.71,7073025,7073025,0.11,0.06563246,167.94,"October 02, 24",0.0006563246
3,2024-10-01,170.22,170.51,165.97,167.16,167.16,7595100,7595100,-3.06,-1.8,168.465,"October 01, 24",-0.018
4,2024-09-30,169.5,170.52,166.45,170.4,170.4,10218973,10218973,0.9,0.53097,169.2175,"September 30, 24",0.0053097
5,2024-09-27,168.09,169.11,166.51,168.74,168.74,8974400,8974400,0.65,0.3867,168.1125,"September 27, 24",0.003867
6,2024-09-26,167.65,168.36,166.48,168.1,168.1,7096842,7096842,0.45,0.26842,167.6475,"September 26, 24",0.0026842
7,2024-09-25,167.69,168.75,165.66,166.28,166.28,7142437,7142437,-1.41,-0.84084,167.095,"September 25, 24",-0.0084084
8,2024-09-24,165.74,166.1,163.92,165.8,165.8,6155100,6155100,0.06,0.03620128,165.39,"September 24, 24",0.0003620128
9,2024-09-23,167.23,167.33,164.26,165.95,165.95,7916100,7916100,-1.28,-0.76541,166.1925,"September 23, 24",-0.0076541
10,2024-09-20,167.13,168.83,166.6,168.0,168.0,12187736,12187736,0.87,0.52055,167.64,"September 20, 24",0.0052055
11,2024-09-19,167.25,168.16,164.51,167.59,167.59,10075900,10075900,0.34,0.20329,166.8775,"September 19, 24",0.0020329
12,2024-09-18,167.62,167.62,163.73,164.53,164.53,12274414,12274414,-3.09,-1.84,165.875,"September 18, 24",-0.0184
13,2024-09-17,170.28,170.64,166.77,167.47,167.47,12580114,12580114,-2.81,-1.65,168.79,"September 17, 24",-0.0165
14,2024-09-16,164.99,173.99,164.51,170.33,170.33,27384400,27384400,5.34,3.24,168.455,"September 16, 24",0.0324
15,2024-09-13,173.7,173.94,161.0,162.03,162.03,25727805,25727805,-11.67,-6.72,167.6675,"September 13, 24",-0.0672
16,2024-09-12,159.04,162.34,157.9,161.38,161.38,16352048,16352048,2.34,1.47,160.165,"September 12, 24",0.0147
17,2024-09-11,156.78,159.44,154.84,157.18,157.18,12630122,12630122,0.4,0.25513,157.06,"September 11, 24",0.0025513
18,2024-09-10,154.23,160.52,153.12,155.89,155.89,37374210,37374210,1.66,1.08,155.94,"September 10, 24",0.0108
19,2024-09-09,142.49,143.3,139.51,139.89,139.89,20233428,20233428,-2.6,-1.82,141.2975,"September 09, 24",-0.0182
