,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-10-04,172.55,172.8,166.48,168.9,168.9,6344084,6344084,-3.65,-2.12,170.1825,"October 04, 24",-0.0212
1,2024-10-03,165.95,169.53,165.66,168.92,168.92,6260212,6260212,2.97,1.79,167.515,"October 03, 24",0.0179
2,2024-10-02,166.15,169.75,165.15,168.32,168.32,4484600,4484600,2.17,1.31,167.3425,"October 02, 24",0.0131
3,2024-10-01,169.8,170.29,164.08,165.78,165.78,8277600,8277600,-4.02,-2.37,167.4875,"October 01, 24",-0.0237
4,2024-09-30,171.37,172.23,167.75,170.05,170.05,8103000,8103000,-1.32,-0.77026,170.35,"September 30, 24",-0.0077026
5,2024-09-27,173.0,173.45,169.83,170.13,170.13,5880700,5880700,-2.87,-1.66,171.6025,"September 27, 24",-0.0166
6,2024-09-26,174.91,175.75,166.78,172.66,172.66,8475000,8475000,-2.25,-1.29,172.525,"September 26, 24",-0.0129
7,2024-09-25,166.28,168.59,165.76,168.27,168.27,5095502,5095502,1.99,1.2,167.225,"September 25, 24",0.012
8,2024-09-24,167.42,169.36,165.98,166.95,166.95,9666800,9666800,-0.47,-0.28073,167.4275,"September 24, 24",-0.0028073
9,2024-09-23,168.42,169.98,165.35,165.96,165.96,9810047,9810047,-2.46,-1.46,167.4275,"September 23, 24",-0.0146
10,2024-09-20,172.69,173.07,164.3,168.92,168.92,27546400,27546400,-3.77,-2.18,169.745,"September 20, 24",-0.0218
11,2024-09-19,174.42,176.8,172.49,173.92,173.92,10900028,10900028,-0.5,-0.28666,174.4075,"September 19, 24",-0.0028666
12,2024-09-18,169.52,172.42,167.7,168.3,168.3,5877600,5877600,-1.22,-0.71968,169.485,"September 18, 24",-0.0071968
13,2024-09-17,168.88,169.5,166.08,168.7,168.7,5828016,5828016,-0.18,-0.10658,168.29,"September 17, 24",-0.0010658
14,2024-09-16,164.93,167.34,163.79,166.61,166.61,6510034,6510034,1.68,1.02,165.6675,"September 16, 24",0.0102
15,2024-09-13,165.81,168.3,165.44,167.73,167.73,4049902,4049902,1.92,1.16,166.82,"September 13, 24",0.0116
16,2024-09-12,165.88,166.31,162.9,164.98,164.98,6045600,6045600,-0.9,-0.54256,165.0175,"September 12, 24",-0.0054256
17,2024-09-11,162.36,166.9,159.25,166.56,166.56,8275440,8275440,4.2,2.59,163.7675,"September 11, 24",0.0259
18,2024-09-10,160.0,162.06,157.68,161.68,161.68,7918100,7918100,1.68,1.05,160.355,"September 10, 24",0.0105
19,2024-09-09,161.09,162.37,158.57,160.77,160.77,7494915,7494915,-0.32,-0.19865,160.7,"September 09, 24",-0.0019865
20,2024-09-06,162.74,163.19,157.13,158.19,158.19,10703047,10703047,-4.55,-2.8,160.3125,"September 06, 24",-0.028
21,2024-09-05,163.08,165.8,161.85,163.7,163.7,5600000,5600000,0.62,0.38018,163.6075,"September 05, 24",0.0038018
22,2024-09-04,163.0,168.24,162.63,165.33,164.48,6737013,6737013,2.33,1.43,164.8,"September 04, 24",0.0143
23,2024-09-03,171.89,172.16,162.0,163.24,162.4,11620300,11620300,-8.64,-5.03,167.3225,"September 03, 24",-0.0503
24,2024-08-30,172.29,175.46,170.8,175.3,174.4,11110813,11110813,3.01,1.75,173.4625,"August 30, 24",0.0175
25,2024-08-29,173.42,176.36,168.93,169.49,168.62,12514200,12514200,-3.93,-2.27,172.05,"August 29, 24",-0.0227
26,2024-08-28,174.38,175.72,169.63,171.85,170.97,6534600,6534600,-2.53,-1.45,172.895,"August 28, 24",-0.0145
